Hotel ID,Price,Suggest Selling Price,Checkin,Checkout,Nights,Price per Night,Adults,Children,Median Price per Night,% Off from Median,Total Median Price,Resort,Stars,Distance,Xeni Link,Hotel Name,Amenities,Image URL,URL,Pass
lp34a70,$621.17 ,$730.77 ,3/6/2026,3/10/2026,4,$155.29 ,2,0,$183.28 ,15.27%,733.12,Banff Sunshine,3,Shuttle,0,Banff Inn,"Restaurant, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/90111400.jpg,https://booking.skizi.co/hotels/lp34a70?checkin=2026-03-06&checkout=2026-03-10,"Mountain Collective, IKON"
lp65584f7e,"$3,961.09 ","$5,197.99 ",3/23/2026,3/27/2026,4,$990.27 ,2,0,"$1,167.91 ",15.21%,4671.64,Telluride Ski Resort,4,5-10min walk,0,River Edge A by Avantstay Three BR Condo In Historic Depot District,0,https://static.cupid.travel/hotels/ex_5b4977cf_z.jpg,https://booking.skizi.co/hotels/lp65584f7e?checkin=2026-03-23&checkout=2026-03-27,EPIC
lp197554,$795.74 ,$752.20 ,3/9/2026,3/13/2026,4,$198.94 ,2,0,$234.19 ,15.05%,936.76,Niseko United,4,5-10 min walk,0,Niseko Central Condominiums,"Massage, Ski storage",https://static.cupid.travel/hotels/357881436.jpg,https://booking.skizi.co/hotels/lp197554?checkin=2026-03-09&checkout=2026-03-13,"Mountain Collective, IKON"
lp77203,$769.63 ,$783.43 ,3/26/2026,3/30/2026,4,$192.41 ,2,0,$226.38 ,15.00%,905.5,Whistler Blackcomb,3,5-10 min walk,0,Whistler Peak Lodge,0,https://static.cupid.travel/hotels/266487749.jpg,https://booking.skizi.co/hotels/lp77203?checkin=2026-03-26&checkout=2026-03-30,EPIC
lp1f11d,$606.23 ,$787.54 ,3/23/2026,3/27/2026,4,$151.56 ,2,0,$178.16 ,14.93%,712.64,Heavenly,4,5-10 min walk,0,Margaritaville Resort Lake Tahoe,"Fitness center, Restaurant, Pets allowed, Bar, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/hd/576600412.jpg,https://booking.skizi.co/hotels/lp1f11d?checkin=2026-03-23&checkout=2026-03-27,EPIC
lp36001,"$1,759.61 ","$1,909.01 ",3/26/2026,3/30/2026,4,$439.90 ,2,0,$516.42 ,14.82%,2065.68,Whistler Blackcomb,4,Shuttle,0,Delta Hotels by Marriott Whistler Village Suites,"Pets allowed, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/451118012.jpg,https://booking.skizi.co/hotels/lp36001?checkin=2026-03-26&checkout=2026-03-30,EPIC
lp6557fb80,"$8,910.57 ","$9,490.60 ",2/8/2026,2/12/2026,4,"$2,227.64 ",2,0,"$2,614.18 ",14.79%,10456.72,Deer Valley Resort,4,5-10 min walk,0,In The Trees 4 Bedrooms ITT-22 by KBM,0,https://snaphotelapi.com/hotels/ex_2c774700_z.jpg,https://booking.skizi.co/hotels/lp6557fb80?checkin=2026-02-08&checkout=2026-02-12,IKON
lp22723,"$2,175.42 ","$2,331.41 ",2/6/2026,2/10/2026,4,$543.86 ,2,0,$637.79 ,14.73%,2551.14,Zermatt Ski Resort,4,5-10 min walk,0,Monte Rosa Boutique Hotel,"Restaurant, Pets allowed, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/498391352.jpg,https://booking.skizi.co/hotels/lp22723?checkin=2026-02-06&checkout=2026-02-10,IKON
lp655852b8,"$5,946.61 ","$6,417.85 ",3/23/2026,3/27/2026,4,"$1,486.65 ",2,0,"$1,743.15 ",14.71%,6972.58,Telluride Ski Resort,4,Slopeside,0,Ghostriders 11 by Avantstay Top Floor Condo w/ Large Patio & Mountain Views!,0,https://static.cupid.travel/hotels/ex_ff1c84a1_z.jpg,https://booking.skizi.co/hotels/lp655852b8?checkin=2026-03-23&checkout=2026-03-27,EPIC
lpe52bb,"$3,086.12 ","$3,176.38 ",3/27/2026,3/31/2026,4,$771.53 ,2,0,$904.30 ,14.68%,3617.18,Aspen,4,Slopeside,0,Limelight Hotel Snowmass,"Restaurant, Pets allowed, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/210339435.jpg,https://booking.skizi.co/hotels/lpe52bb?checkin=2026-03-27&checkout=2026-03-31,IKON
